tf,action,target
NOTCH3,1.0,HEY2
NOTCH4,1.0,HEY1
HEY2,1.0,NOTCH4
NOTCH4,1.0,HEY2
HEY1,1.0,NOTCH1
NOTCH1,1.0,HEY1
EP300,1.0,TGFA
EGR2,-1.0,FASLG
LMO2,-1.0,ZEB1
EP300,1.0,TFF3
TAF9,1.0,HSPD1
SP1,1.0,CD14
RB1,1.0,BGLAP
SP1,1.0,CD1D
SRF,1.0,CCN1
HDAC2,-1.0,TWIST1
SOX2,1.0,EPHA1
SP1,1.0,CD44
PRMT5,-1.0,CCNE1
PRMT5,-1.0,CCNE2
HDAC7,-1.0,AKAP12
SP1,1.0,CD99
MLANA,1.0,MITF
SERPINB5,1.0,SMAD2
SERPINB5,1.0,SMAD3
GABPB1,1.0,MTERF1
BCL6,-1.0,CDKN1A
BCL6,-1.0,CDKN2B
SERPINE1,1.0,SMAD2
MECP2,-1.0,MOBP
SERPINE1,1.0,SMAD3
SMAD3,1.0,SERPINE1
SMAD4,1.0,SERPINE1
CHUK,1.0,MYC
STAT6,1.0,ITGB3
USF1,1.0,TOP3A
TOP3A,1.0,USF1
USF2,1.0,TOP3A
HIPK2,-1.0,NOX1
NAP1L1,1.0,MYC
HOXA10,1.0,BHLHE22
JUN,1.0,FOSL1
JUN,1.0,FOSL2
CREB1,1.0,IFNG
MAML1,1.0,FABP7
MAML2,1.0,FABP7
SP1,1.0,CCL2
MAML3,1.0,FABP7
FOSL1,1.0,CXCL8
YY1,1.0,TP53
CCND3,1.0,FABP4
ZBTB17,1.0,HMGCS2
EP300,1.0,TFF1
TP73,1.0,YY1
YY1,1.0,TP73
POU4F2,1.0,CCND1
STAT6,-1.0,STAT1
PIAS1,1.0,KLK3
PIAS3,1.0,KLK3
XBP1,1.0,CUL7
LDB1,1.0,MYB
FOXA3,1.0,G6PC
SMARCA4,1.0,CDH1
LDHA,1.0,MYC
MYC,1.0,LDHA
LDHB,1.0,MYC
EGR1,-1.0,MYB
MYB,-1.0,EGR1
PLXND1,1.0,VEGFA
HIST3H2BB,1.0,KLK2
HIST3H2BB,1.0,KLK3
CARM1,1.0,CPT1A
BACH2,-1.0,XBP1
CITED2,1.0,FOXO3
FOXO3,1.0,CITED2
NFKB1,1.0,NOX4
NFKB1,1.0,NOX5
CITED2,1.0,FOXO1
FOXO1,1.0,CITED2
SUPT16H,1.0,RAD51D
HIC1,-1.0,LRP8
PPARA,-1.0,TXNIP
E2F1,1.0,ESR1
CDK19,1.0,CEBPA
FKBP4,1.0,KLK3
NFKB1,1.0,NOS1
NFKB1,1.0,NOS2
NFKB1,1.0,NOS3
STAT1,-1.0,CXCL10
JUN,1.0,IGFBP7
MAML1,1.0,FLT4
MAML2,1.0,FLT4
MAML3,1.0,FLT4
VHL,-1.0,VEGFA
ERCC2,-1.0,BCL2
MAX,1.0,LDHA
IRF1,1.0,IL27
PPARA,1.0,NFKBIA
IRF8,1.0,IL1B
KAT2B,-1.0,ZEB1
FOXA1,1.0,INS
IRF1,1.0,IL10
RELA,1.0,IRF4
RELA,1.0,IRF7
RELA,1.0,IRF1
SMARCD3,1.0,CD36
FANCD2,1.0,RAD51D
RAD51D,1.0,FANCD2
TP53,1.0,PAX5
IL4R,1.0,IRF4
GCM2,1.0,CASR
SP1,1.0,CDK4
JUN,1.0,NEIL1
PKN1,1.0,KLK2
YY1,-1.0,MUC4
CHD9,1.0,CYP4A11
SMAD7,-1.0,TGFBR1
NFKB1,1.0,NOD2
KLK2,1.0,CTNNB1
KLK3,1.0,CTNNB1
CTNNB1,1.0,KLK3
FOSL2,1.0,MYB
MYC,1.0,FOSL1
PKN1,1.0,KLK3
MED1,1.0,PPARA
SSRP1,1.0,FANCD2
LEF1,1.0,MYC
HOXA10,1.0,ID2
ETS1,-1.0,BAX
TBP,1.0,BGLAP
IL12RB1,1.0,GADD45B
IL12RB2,1.0,GADD45B
LMO2,1.0,ERG
TBL1X,1.0,TIAM2
TRIM24,1.0,KLK3
FOXH1,1.0,GSC
HES1,1.0,NOTCH1
NOTCH2,1.0,HES1
IL12RB1,1.0,GADD45G
IL12RB2,1.0,GADD45G
NOTCH4,1.0,HES5
HES1,1.0,NOTCH4
NOTCH4,1.0,HES1
NOTCH1,1.0,HES5
NOTCH2,1.0,HES5
NOTCH3,1.0,HES5
NR5A2,1.0,CETP
CKS2,1.0,MYC
TP53,1.0,PCNA
PCNA,1.0,TP53
TYK2,1.0,FASLG
FOSL2,1.0,LIF
CREBBP,1.0,ACTA2
HDAC1,-1.0,SERPINE1
E2F1,1.0,ETV4
EGR1,-1.0,CXCL8
FOS,1.0,CREM
FOS,1.0,ACTA1
E2F1,-1.0,PLAU
E2F2,-1.0,PLAU
E2F3,-1.0,PLAU
NCOA1,1.0,ANKRD1
NCOA2,1.0,ANKRD1
MAX,1.0,FOSL1
NCOA6,1.0,ANKRD1
NCOA6,1.0,GLIPR1
NCOA1,1.0,GLIPR1
NCOA2,1.0,GLIPR1
TCF7L2,1.0,STARD7
IL4,1.0,ALOX15
ESR1,-1.0,CRH
ESR2,-1.0,CRH
MED13L,1.0,ADIPOQ
SIN3A,-1.0,GP1BA
SIN3B,-1.0,GP1BA
CDK19,1.0,ANGPTL4
USF2,-1.0,ASCL2
USF1,-1.0,ASCL2
CDK7,1.0,CHEK1
CDK9,1.0,CHEK1
LEF1,1.0,MT-CO2
BRCA1,-1.0,IGF1
FOXA2,1.0,CPT1B
FOXA2,1.0,CPT1A
FOXA2,1.0,CPT1C
STAT3,1.0,ESR2
RXRA,1.0,UGT1A9
APEX1,-1.0,PTH
MED11,-1.0,LEP
MED10,-1.0,LEP
MED17,-1.0,LEP
HDAC9,-1.0,NFKB1
MED16,-1.0,LEP
MED19,-1.0,LEP
MED18,-1.0,LEP
MED13,-1.0,LEP
MED12,-1.0,LEP
MED15,-1.0,LEP
MED14,-1.0,LEP
INTS7,-1.0,MYB
INTS7,-1.0,MYC
MED31,-1.0,LEP
MED30,-1.0,LEP
BRCA1,1.0,FST
RXRA,1.0,HMGCS1
RXRA,1.0,HMGCS2
MED20,-1.0,LEP
MED22,-1.0,LEP
MED21,-1.0,LEP
MED28,-1.0,LEP
MED27,-1.0,LEP
MED29,-1.0,LEP
MED24,-1.0,LEP
MED23,-1.0,LEP
MED26,-1.0,LEP
MED25,-1.0,LEP
ARNT,1.0,BNIP3
USF2,1.0,APOA5
USF1,1.0,APOA5
UBE2B,1.0,CTNNB1
KAT2B,1.0,CDKN1B
KAT2B,1.0,CDKN1A
KAT2A,1.0,CDKN1A
SP1,1.0,SLC19A1
SP1,1.0,SLC19A3
SP3,1.0,SLC19A3
SP1,1.0,STARD3
TFAP2A,1.0,PRKCA
MAML3,1.0,GZMB
MAML2,1.0,GZMB
CIITA,-1.0,MMP9
MAML1,1.0,GZMB
E2F1,1.0,TK1
TK1,1.0,E2F1
E2F3,1.0,TK1
TK1,1.0,E2F4
GTF2F2,1.0,RAD51D
GTF2F1,1.0,RAD51D
ITIH3,1.0,GLI1
CD247,1.0,PRF1
ARNT,1.0,IGFBP1
EAF1,1.0,ELL
FZD6,-1.0,GLI2
XBP1,1.0,YIF1A
STAT3,1.0,NME1
MYC,-1.0,GLI2
MYC,-1.0,GLI1
GTF2H4,1.0,RAD51D
GTF2H3,1.0,RAD51D
GTF2H5,1.0,RAD51D
NMBR,1.0,STAT2
GTF2H2,1.0,RAD51D
GTF2H1,1.0,RAD51D
ARID1A,1.0,IGH
ARID1B,1.0,IGH
FOXO4,1.0,CDKN2B
CDKN2D,1.0,FOXO1
CDKN2B,1.0,FOXO3
FOXO3,1.0,CDKN2B
CDKN2D,1.0,FOXO3
PLAG1,1.0,CRLF1
TNRC6A,-1.0,PTEN
TNRC6C,-1.0,PTEN
TNRC6B,-1.0,PTEN
SUPT5H,1.0,BRCA1
ARNTL,1.0,TIMELESS
SP1,1.0,MMP9
SP1,1.0,MMP2
HIST1H2AM,1.0,E2F1
MAX,1.0,MTA1
MSH2,1.0,MYC
SRF,1.0,MMP2
NR5A1,1.0,CITED2
SLC1A5,1.0,CTNNB1
ELL,1.0,BRCA1
SPP1,1.0,CREB1
FOXA1,-1.0,ABCA1
FOXA2,-1.0,ABCA1
NR4A1,1.0,MMP2
IRF1,1.0,CEACAM1
POU5F1,-1.0,CDKN1A
TSG101,-1.0,EGFR
ING4,1.0,ARL6IP5
VEGFA,1.0,S1PR1
HBP1,1.0,FOXO3
ATF1,-1.0,CCNA1
CCNH,1.0,CHEK1
CCNK,1.0,CHEK1
IRF3,1.0,ABCC2
CDH2,1.0,NOTCH1
HLA-DRB1,1.0,IFNG
STAT3,1.0,NOS2
STAT2,1.0,NOS2
STAT1,1.0,NOS2
MYC,1.0,MTA1
MEF2C,1.0,PPARGC1A
MEF2D,1.0,PPARGC1A
PCK2,-1.0,NR1H2
PCK2,-1.0,NR1H3
MYC,1.0,MTDH
TP63,1.0,RAB38
COPS5,1.0,MMP1
TRRAP,1.0,TERT
ARNT,-1.0,CCNE1
ZBTB17,-1.0,COL1A2
TP53,1.0,RNF144B
STAT1,1.0,NOX5
STAT3,1.0,NOX5
FOXA1,1.0,CDKN1B
MAX,1.0,MTDH
NOP56,1.0,MYC
NFKB1,1.0,GFAP
NFIC,1.0,FHL5
MED4,1.0,PCK1
MED7,1.0,PCK1
MED6,1.0,PCK1
MED9,1.0,PCK1
MED8,1.0,PCK1
MED1,1.0,PCK1
ANKRD1,-1.0,SMAD6
EP300,-1.0,NR1H4
ATF4,1.0,IGFBP1
DAXX,-1.0,AIRE
EGR1,1.0,ACE
ACE,1.0,EGR1
APAF1,1.0,E2F1
E2F1,1.0,APAF1
SMARCD3,1.0,NPAS2
TP53,1.0,SNAI2
NR5A1,1.0,STARD7
FOXO4,1.0,CDKN1A
FOXO3,1.0,CDKN1B
CDKN1C,1.0,FOXO1
FOXO3,1.0,CDKN1A
FOXO4,1.0,CDKN1B
SMAD3,-1.0,TGFB1
CDKN2B,1.0,FOXO1
FOXO1,1.0,CDKN2B
POU2AF1,1.0,TNFRSF17
PITX2,1.0,LHX6
CDKN1B,1.0,FOXO1
FOXO1,1.0,CDKN1B
CDKN1A,1.0,FOXO1
FOXO1,1.0,CDKN1A
NCOA1,1.0,TNFRSF21
NCOA2,1.0,TNFRSF21
NCOA6,1.0,TNFRSF21
JUNB,1.0,DMTF1
STAT5B,1.0,FASLG
STAT5A,1.0,FASLG
SOX4,1.0,HDAC8
STAT4,1.0,ETV5
STAT3,1.0,ETV6
NNMT,1.0,STAT3
PPARGC1A,1.0,APOC3
NR0B2,-1.0,PCK2
STAT3,1.0,CTNNB1
CP,1.0,GLI1
TPSB2,1.0,MITF
PPARGC1A,1.0,APOA5
RUNX3,1.0,TIMP1
HSD17B2,1.0,CTNNB1
RNF2,-1.0,E2F1
MAZ,-1.0,GLI2
RUNX2,1.0,SNAI2
RUNX2,1.0,SNAI3
CREB1,1.0,CASP8
IL1R2,1.0,GLI2
TWIST2,1.0,AKR1C2
TWIST1,1.0,AKR1C2
ETS1,1.0,TMEM158
RUNX1,1.0,IGHA1
RUNX3,1.0,IGHA1
CHD9,1.0,TIAM2
LUM,-1.0,GLI2
MYC,1.0,MMP9
RNF128,-1.0,IL2
RNF128,-1.0,IL4
EGR1,1.0,STIM1
CTNNB1,1.0,FGF4
TBL1X,1.0,TNFRSF21
FGF9,1.0,CTNNB1
HDAC2,-1.0,MDM2
FOXO1,1.0,PINK1
PINK1,1.0,FOXO3
FOXO3,1.0,PINK1
RELA,1.0,BCL3
RELA,1.0,BCL2
BCL2,1.0,RELA
TP63,1.0,TRAF4
CREB3L3,1.0,FGF21
TWIST2,-1.0,ERBB3
H2BFS,1.0,BCL2
TWIST1,-1.0,ERBB3
MYC,1.0,POLR3D
TFAP2C,1.0,PITX2
POLR2A,1.0,MYB
POLR2C,1.0,MYB
POLR2B,1.0,MYB
POLR2E,1.0,MYB
POLR2D,1.0,MYB
POLR2F,1.0,MYC
POLR2G,1.0,MYB
POLR2F,1.0,MYB
POLR2I,1.0,MYB
POLR2H,1.0,MYB
POLR2K,1.0,MYB
POLR2J,1.0,MYB
POLR2L,1.0,MYB
E2F1,1.0,NR4A1
NR4A1,1.0,E2F1
TFAP2A,1.0,PITX2
YBX1,-1.0,FAS
RELA,1.0,TBX21
CREBBP,1.0,PEX11A
MAX,1.0,POLR3D
TP53,1.0,TIGAR
HDAC2,-1.0,DKK1
TRIM16,-1.0,VIM
CASP4,-1.0,LEF1
HDAC9,-1.0,DIRAS3
MSC,1.0,MMP2
MYCN,1.0,BAX
NFYC,1.0,FASN
NFYB,1.0,FASN
NFYA,1.0,FASN
TGS1,1.0,TRIB3
PGR,1.0,E2F1
EGR1,1.0,FGF2
ATF6,1.0,RTN3
RUNX3,-1.0,RUNX1
CDK19,1.0,LPL
IKZF1,-1.0,PTCRA
USF2,1.0,PIGR
USF1,1.0,PIGR
TBL1XR1,1.0,ACADM
SP1,1.0,MICA
SP1,1.0,MICB
NFRKB,1.0,JUN
HOXC10,-1.0,HOXB8
YY1,-1.0,CXCR4
CXCR4,-1.0,YY1
SMAD3,1.0,CCND2
TBL1XR1,1.0,TXNRD1
TP63,1.0,MFGE8
TP73,1.0,HSF1
IRF1,-1.0,E2F1
E2F1,-1.0,IRF3
IRF3,-1.0,E2F1
JUP,-1.0,GLI1
NFKB1,1.0,MMP13
NFKB1,1.0,MMP14
ZEB1,1.0,SPRR1B
NCOR1,-1.0,CLOCK
MAPK1,1.0,PLAU
MAPK3,1.0,PLAU
RRM2B,1.0,TP53
TP53,1.0,RRM2B
PARN,-1.0,CXCL8
NEUROG3,1.0,PAX4
BRCA1,1.0,ATR
ATR,1.0,BRCA1
BRCA1,1.0,ATM
ATM,1.0,BRCA1
USF2,1.0,THBS1
RACK1,1.0,KLK2
TFE3,1.0,SERPINE1
ZNF239,-1.0,RBP3
METAP2,1.0,MYC
ENO1,1.0,HIF1A
HIF1A,1.0,ENO1
RELA,1.0,NFKBIB
CDK12,1.0,FANCI
XBP1,1.0,WIPI1
ATF2,1.0,ACHE
NPAS2,1.0,BHLHE41
NPAS2,1.0,BHLHE40
ARID3A,1.0,PML
SP1,-1.0,RGN
LEF1,1.0,PITX2
PITX2,1.0,LEF1
PTTG1,1.0,S100A4
TNRC6A,-1.0,CDKN2A
TNRC6C,-1.0,CDKN2A
TNRC6B,-1.0,CDKN2A
JUN,1.0,MSH2
EPHB3,1.0,LEF1
E2F1,1.0,RB1
JAK3,1.0,BCL2L1
JAK1,1.0,BCL2L1
TNF,1.0,NFKB1
NFKB1,1.0,TNF
ITGB1,1.0,GLI2
SNAI1,-1.0,EGR1
MEF2C,-1.0,NR4A1
ATM,1.0,RAD51D
RAD51D,1.0,ATM
ATR,1.0,RAD51D
RAD51D,1.0,ATR
NFATC2,1.0,PTGS2
NFATC1,1.0,PTGS2
NFATC3,1.0,PTGS2
NFKB1,1.0,FASLG
CARM1,1.0,FDFT1
BCL6,-1.0,CD80
USF1,-1.0,PTGS2
STAT1,1.0,EPOR
FOXA2,1.0,HADH
GAB2,1.0,E2F1
GCLC,1.0,NFE2L2
PKLR,1.0,USF1
VDR,-1.0,PTH
BTG2,-1.0,KLK3
BTAF1,-1.0,TBP
MAFA,1.0,PDX1
TBX21,-1.0,CCR4
DVL3,1.0,MYC
NFYC,1.0,FDPS
FOXM1,1.0,LAMA4
NFYB,1.0,FDPS
NFYA,1.0,FDPS
FDPS,1.0,NFYA
SP3,1.0,NFKB1
SP4,1.0,NFKB1
SP1,1.0,NFKB1
TFDP2,1.0,WASF1
TFDP1,1.0,WASF1
ATF2,1.0,SOCS3
SLC10A1,1.0,CEBPB
ERBB4,1.0,APOE
JUN,1.0,MT2A
NRIP1,1.0,SLC7A1
TP53,-1.0,HNF4A
JUN,1.0,MSR1
STAT5A,-1.0,SUMO1
IRF1,1.0,CASP7
DDX54,-1.0,C3
NR4A1,-1.0,TNF
TYR,1.0,MITF
MITF,1.0,TYR
SP1,1.0,E2F1
APEX1,1.0,SLC5A5
MLXIPL,1.0,FASN
TAF10,1.0,TERT
TAF12,1.0,TERT
PDK4,1.0,E2F1
STAT5B,1.0,ID1
ATF2,1.0,COL24A1
STAT5A,1.0,ID1
STMN2,1.0,CTNNB1
NR3C1,1.0,BRCA1
NPAS2,1.0,DBP
ITGB1,1.0,SMAD3
DST,-1.0,GLI2
SMAD4,1.0,ITGB5
SMAD3,1.0,ITGB5
EP300,1.0,DMP1
NFYB,1.0,XBP1
NFYA,1.0,XBP1
STAT5B,1.0,IL4
STAT5A,1.0,IL4
NFYC,1.0,XBP1
ANAPC16,1.0,IL6
ANAPC11,1.0,IL6
ANAPC10,1.0,IL6
MNAT1,1.0,MDC1
ANAPC15,1.0,IL6
MECP2,-1.0,CRH
SP1,1.0,MUC2
SP1,1.0,MUC6
SP3,1.0,MUC6
EMB,-1.0,GLI1
EZH2,-1.0,CDKN1A
PIK3R3,1.0,SREBF1
EZH2,-1.0,CDKN2B
EZH2,-1.0,CDKN2A
SOX4,1.0,NCAM1
SATB1,1.0,IL4
FOXP1,1.0,NANOG
PAX4,-1.0,INS
UHRF1,-1.0,ABCB1
PTGDR,1.0,CASP7
SNAI2,1.0,CD44
JUN,1.0,EDN1
EDN1,1.0,JUN
NFKBIA,-1.0,S100A6
SPI1,1.0,PTGIR
CEBPB,1.0,CRP
CEBPZ,-1.0,COL11A1
CREB3L1,-1.0,SLC1A4
JUNB,1.0,PTGS2
JUND,1.0,PTGS2
DPY30,1.0,GP1BA
STAT1,-1.0,FCGRT
CREBBP,1.0,GLI1
PAX8,1.0,SLC5A5
GLI1,-1.0,FAS
GLI2,-1.0,FAS
VHL,-1.0,NMU
TOPBP1,1.0,E2F3
TOPBP1,1.0,E2F2
COL10A1,1.0,RUNX2
TOPBP1,1.0,E2F1
TP53BP2,1.0,BBC3
SMARCD3,1.0,CYP4A11
MECP2,1.0,SLC2A3
MITF,1.0,TYRP1
TYRP1,1.0,MITF
CBFB,1.0,IGHA1
NR3C1,-1.0,SRF
RARA,1.0,THBD
NFYA,1.0,CBS
IL10,-1.0,ICAM1
CEBPB,1.0,XBP1
ZNF143,1.0,PCYT1A
ZFPM1,-1.0,MYB
WT1,-1.0,MYC
WT1,-1.0,MYB
HDAC11,-1.0,TNF
GRB2,-1.0,A2M
CREBBP,1.0,INSM1
VHL,-1.0,CXCR4
PAX4,-1.0,GCG
MTF1,1.0,GCLC
POLE3,1.0,MYC
PTPN1,-1.0,CSN2
CEBPB,1.0,DAPK1
TFAP2A,1.0,PTEN
CDK19,1.0,PCK1
MED1,1.0,APOA2
SIRT1,-1.0,BCL2L11
MED1,1.0,APOA1
MED1,1.0,APOA5
MLLT3,-1.0,CDKN1A
E2F1,1.0,THBS1
CARM1,1.0,TNFRSF21
THBS1,1.0,E2F1
RELA,1.0,TFF1
JUN,1.0,EGFR
KLK3,1.0,RELA
FOS,1.0,NEFL
HOXC6,-1.0,IGFBP3
TCF4,-1.0,KLK3
IL2,1.0,EGR1
EGR1,1.0,IL3
TBP,-1.0,NF1
DARS2,-1.0,GLI1
H2AFJ,1.0,KLK3
H2AFJ,1.0,KLK2
RB1,1.0,VEGFA
STAT6,1.0,RETNLB
NR1H4,1.0,VEGFA
CREBBP,1.0,PCK1
H2AFV,1.0,KLK3
H2AFV,1.0,KLK2
CREB1,1.0,PCSK1
H2AFX,1.0,KLK3
H2AFX,1.0,KLK2
H2AFZ,1.0,KLK3
H2AFZ,1.0,KLK2
SP1,1.0,TERF2
POLR2D,1.0,FANCI
POLR2C,1.0,FANCI
POLR2F,1.0,FANCI
POLR2E,1.0,FANCI
POLR2H,1.0,FANCI
POLR2G,1.0,FANCI
POLR2J,1.0,FANCI
POLR2I,1.0,FANCI
POLR2B,1.0,FANCI
POLR2A,1.0,FANCI
DDIT3,-1.0,CEBPA
POLR2L,1.0,FANCI
POLR2K,1.0,FANCI
E2F1,1.0,GLI2
SLC6A2,1.0,CTNNB1
ESR1,1.0,KDM4B
HSF1,1.0,LDHA
FOXL2,-1.0,CYP19A1
PIAS1,1.0,SI
GATA1,1.0,ITGA2B
NFKB1,-1.0,IL1A
FKBP5,1.0,AR
MAML3,1.0,HES5
MAML2,1.0,HES5
MAML1,1.0,HES5
ELK1,1.0,FOS
ELK4,1.0,FOS
MED13L,-1.0,LEP
NANOG,1.0,FOXD3
MAML3,1.0,HEYL
MAML2,1.0,HEYL
MAML1,1.0,HEYL
CREB1,1.0,NDC80
MAML2,1.0,HEY1
MAML1,1.0,HEY2
MAML3,1.0,HEY2
MAML2,1.0,HEY2
MAML3,1.0,HEY1
ZNF76,-1.0,CDKN1A
PIAS2,1.0,AR
SP1,1.0,HSD17B11
RELA,1.0,TFF3
RELA,-1.0,REPS2
HELZ2,1.0,FDFT1
TBL1X,1.0,HMGCR
CTNNB1,1.0,INCENP
DRG2,1.0,GLI1
ATF4,1.0,APOE
JUN,1.0,EGR1
TP63,1.0,FLOT2
TP73,1.0,FLOT2
PML,-1.0,NR4A1
SLC7A8,1.0,CTNNB1
GMNN,1.0,E2F1
GMNN,1.0,E2F3
GMNN,1.0,E2F2
GMNN,1.0,E2F4
RELA,1.0,CEACAM1
HIF1A,1.0,NT5E
STAT1,1.0,PPARA
STAT3,1.0,PPARA
TP73,1.0,RAD51
YY1,-1.0,FAS
FAS,-1.0,YY1
APEX1,1.0,NFKB1
TP53,-1.0,BCL2
TP53,-1.0,BCL3
BCL3,-1.0,TP53
HELZ2,1.0,RGL1
TEAD1,1.0,GLI2
BMI1,-1.0,TERT
VDR,-1.0,IL6
VDR,-1.0,IL2
JUN,1.0,BRCA1
STAT3,1.0,CHI3L1
E2F5,-1.0,RBL1
E2F4,-1.0,RBL1
RBL1,-1.0,E2F1
E2F3,-1.0,RBL1
E2F2,-1.0,RBL1
RBL2,-1.0,E2F1
JUND,-1.0,CDK4
TGFB2,1.0,CTNNB1
NR3C1,-1.0,PRL
CAT,1.0,EGR1
EGR3,1.0,CAT
MLX,1.0,AGPAT1
STAT5B,1.0,MYC
STAT5A,1.0,MYC
EHMT2,1.0,KLK3
NR5A1,-1.0,NOV
DBH,1.0,CTNNB1
RB1,-1.0,MYC
RAD51,1.0,TP53
NCOA2,1.0,HMGCR
NCOA1,1.0,HMGCR
NCOA6,1.0,HMGCR
FOS,1.0,EDN1
SP3,-1.0,LOR
HIF1A,1.0,ETS1
FANCI,1.0,BRCA1
BRCA1,1.0,FANCI
SOX6,-1.0,CDK4
ELF1,1.0,FLI1
SIN3A,-1.0,OPRM1
NRL,-1.0,RHO
BARD1,1.0,ESR1
ANAPC10,1.0,CXCL8
ANAPC11,1.0,CXCL8
ANAPC16,1.0,CXCL8
ANAPC15,1.0,CXCL8
YY1,-1.0,GAA
DCT,1.0,CTNNB1
SP1,1.0,LOXL4
ANAPC2,1.0,IL6
ANAPC1,1.0,IL6
ANAPC7,1.0,IL6
ANAPC4,1.0,IL6
ANAPC5,1.0,IL6
KAT2A,1.0,HES5
KAT2B,1.0,HES5
SPI1,-1.0,CD68
SREBF2,1.0,HMGCS1
KAT2B,1.0,HEYL
KAT2A,1.0,HEYL
PER1,-1.0,BAX
KAT2A,1.0,HEY1
KAT2B,1.0,HEY2
KAT2B,1.0,HEY1
KAT2A,1.0,HEY2
EP300,1.0,SLC2A1
SLC2A2,1.0,EP300
SOX17,-1.0,NFAT5
PAX3,1.0,MITF
STAT5B,1.0,LTA
STAT5A,1.0,LTA
SREBF1,1.0,HMGCS1
HMGCS1,1.0,SREBF1
NFIL3,-1.0,IL1B
SP3,-1.0,MYC
COL3A1,-1.0,SMAD7
SALL3,-1.0,HDAC9
SIRT1,1.0,PER1
SKI,-1.0,MYC
MBD1,-1.0,IRF8
STAT6,1.0,COL1A2
STAT6,1.0,COL1A1
NPAS2,1.0,AVP
SLC2A3,1.0,CTNNB1
PPRC1,1.0,TFB2M
TBP,-1.0,IL6
SOX2,1.0,NTRK3
CEBPB,1.0,ADM
ETS1,1.0,SLC26A3
STAT5B,1.0,OSM
STAT5A,1.0,OSM
PAX5,-1.0,XBP1
ENPP2,1.0,CTNNB1
MYB,1.0,MAD1L1
CREB1,1.0,BDNF
MGMT,1.0,GLI1
PPRC1,1.0,TFB1M
MYC,1.0,VEGFA
TP53,1.0,SERPINB5
SERPINB5,1.0,TP53
TP53,1.0,DUSP5
DUSP1,1.0,TP53
TP53,1.0,DUSP1
TP63,1.0,SERPINB5
TP73,1.0,SERPINA1
NFATC2,1.0,PTPRK
BRCA1,1.0,MYC
SMARCD3,1.0,PPARA
NFATC2,1.0,PTPN1
RELA,1.0,BMP2
ZFP36,-1.0,IL6
ZFP36,-1.0,IL2
PAX8,1.0,E2F1
IL4,-1.0,TNF
LHB,-1.0,NR5A1
CEBPZ,1.0,APC
TP53,1.0,SERPINE1
EP300,1.0,IL12B
HIF1A,1.0,NPM1
ALB,1.0,CEBPA
HDAC4,-1.0,VEGFA
TP73,1.0,SERPINE1
COL6A2,-1.0,SMAD7
GATA3,1.0,CHST4
COL6A3,-1.0,SMAD7
E2F1,1.0,RANBP1
HDAC1,-1.0,BRCA2
BIK,1.0,CTNNB1
SP1,1.0,MT2A
HIF1A,1.0,NOS2
TP53,-1.0,GADD45A
SP1,-1.0,KDR
CDC45,1.0,GLI2
MYCN,1.0,NES
MED12,1.0,DKK1
MEF2A,1.0,SLC2A4
ELF2,1.0,BLK
ELF1,1.0,BLK
E2F1,1.0,PCNA
PCNA,1.0,E2F1
RBP2,1.0,BRD2
CREB1,1.0,BCL2
GATA4,1.0,IAPP
SP1,1.0,MTA1
EGFR,1.0,FOS
SPI1,1.0,ACP5
EGR1,-1.0,FCER2
FCER2,-1.0,EGR1
AR,1.0,EP300
RXRA,1.0,GRHL1
ATF3,-1.0,LDLR
RB1,-1.0,MET
SP3,1.0,MSH6
APEX1,1.0,MITF
NELFCD,1.0,MDC1
FN1,1.0,EGR1
EGR1,1.0,FN1
DCT,-1.0,PAX3
PELP1,1.0,PTK6
TADA2B,1.0,BBC3
ELOA,1.0,ATR
ELOC,1.0,ATR
ELOB,1.0,ATR
COL5A2,-1.0,SMAD7
ELOB,1.0,ATM
ELOA,1.0,ATM
ELOC,1.0,ATM
NFYA,1.0,OGG1
FOXA2,1.0,APOA1
NFKB1,1.0,FAS
MSN,-1.0,MYC
DLK1,-1.0,RBPJ
TP53,1.0,EPHA2
REL,-1.0,IL6
EPAS1,1.0,CCR7
DNMT1,-1.0,CDH1
IL23R,1.0,CXCL9
TYK2,1.0,GZMB
TYK2,1.0,GZMA
HIST2H2AA3,1.0,KDM4B
IL23A,1.0,CXCL9
IL23R,1.0,CXCL1
CEBPB,1.0,SLC19A1
IL23A,1.0,CXCL1
ZBTB7A,-1.0,FOS
ECD,-1.0,GCGR
GFI1,-1.0,BAX
FGF13,1.0,GLI2
CEBPB,1.0,KLRC3
IL23R,1.0,MPO
YY1,-1.0,APC
NFKB1,1.0,FN1
IL23A,1.0,MPO
FOXA2,1.0,PKLR
PTTG1,1.0,RHOA
CDC16,1.0,IL6
SIN3A,-1.0,GRIA2
CDC23,1.0,IL6
NKD1,1.0,CTNNB1
CDC27,1.0,IL6
CDC26,1.0,IL6
EHMT2,-1.0,E2F1
EHMT1,-1.0,E2F1
SREBF2,-1.0,MTTP
MTTP,-1.0,SREBF2
MTTP,-1.0,SREBF1
TBL1XR1,1.0,CYP7A1
ZFHX3,-1.0,MYB
TP53,-1.0,ABCB1
RBPJ,1.0,SKP2
SKP2,1.0,RBPJ
AR,1.0,JUN
SP1,1.0,CXCL14
PCGF6,-1.0,CDC7
NPAS2,1.0,NOCT
LY6G6D,1.0,CTNNB1
STAT4,1.0,EBI3
CCL17,1.0,GLI2
HIF3A,1.0,VEGFA
